"TOA5","moti daatalogger CR1000","CR1000","40328","CR1000.Std.21","CPU:JOSEF PROG_7-current-25-08-24.CR1","15565","voltage"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","voltage1","voltage2","voltage3","voltage4","current1","current2","par1","par2"
"TS","RN","","","","","","","","","",""
"","","Min","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2024-09-16 13:30:00",0,12.9,34.46,7999,7999,229.4,230.8,9.17,9.23,920,960
"2024-09-16 13:40:00",1,12.89,34.5,7999,7999,521.6,341.3,20.86,13.65,1736,1503
"2024-09-16 13:50:00",2,12.89,34.54,7999,7999,3.637,309.3,0.145,12.37,1386,1088
"2024-09-16 14:00:00",3,12.89,34.58,7999,7999,481.4,315.9,19.26,12.64,1736,1376
"2024-09-16 14:10:00",4,12.89,34.61,7999,7999,493.3,288.8,19.73,11.55,1282,1631
"2024-09-16 14:20:00",5,12.89,34.73,7999,7999,517.3,303.4,20.69,12.14,1736,1567
"2024-09-16 14:30:00",6,12.89,34.85,7999,7999,498.5,104.2,19.94,4.168,1347,1567
"2024-09-16 15:30:00",0,12.89,35.24,0,0,0,0,0,0,0,0
"2024-09-16 15:40:00",1,12.89,35.24,0,0,0,0,0,0,0,0
"2024-09-16 15:50:00",2,12.88,35.4,0,0,0,0,0,0,0,0
"2024-09-16 16:00:00",3,12.88,35.56,39595,43482,116.2,47.66,4.648,1.906,582.8,31.98
"2024-09-16 16:10:00",4,12.88,35.4,39858,43467,97.3,43.59,3.893,1.743,129.5,159.9
"2024-09-16 16:20:00",5,12.89,35.16,40328,43365,108.1,39.58,4.325,1.583,25.9,159.9
"2024-09-16 16:30:00",6,12.88,34.93,40900,44289,435.2,53.04,17.41,2.122,1023,63.97
"2024-09-16 16:40:00",7,12.88,34.85,40477,43558,391,39.76,15.64,1.59,855,-31.99
"2024-09-16 16:50:00",8,12.89,34.81,40142,43062,264.6,33.15,10.58,1.326,168.4,255.9
"2024-09-16 17:00:00",9,12.89,34.73,39230,42473,74.66,23.6,2.986,0.944,-116.6,159.9
"2024-09-16 17:10:00",10,12.89,34.5,41433,43018,352.1,27.78,14.08,1.111,155.4,191.9
"2024-09-16 17:20:00",11,12.89,34.31,39049,42204,68.56,20.19,2.742,0.807,285,31.99
